skill_slug,file
code-reviewer,code-reviewer.en.md
continuous-learning-v2,continuous-learning-v2.en.md
doc-coauthoring,doc-coauthoring.en.md
excalidraw-diagram,excalidraw-diagram.en.md
frontend-code-review,frontend-code-review.en.md
json-canvas,json-canvas.en.md
learning-medusa,learning-medusa.en.md
obsidian-bases,obsidian-bases.en.md
obsidian-markdown,obsidian-markdown.en.md
writing-clearly-and-concisely,writing-clearly-and-concisely.en.md
