skill_slug,file
code-reviewer,code-reviewer.zh.md
continuous-learning-v2,continuous-learning-v2.zh.md
doc-coauthoring,doc-coauthoring.zh.md
excalidraw-diagram,excalidraw-diagram.zh.md
frontend-code-review,frontend-code-review.zh.md
json-canvas,json-canvas.zh.md
learning-medusa,learning-medusa.zh.md
obsidian-bases,obsidian-bases.zh.md
obsidian-markdown,obsidian-markdown.zh.md
writing-clearly-and-concisely,writing-clearly-and-concisely.zh.md
